NOMBRE,POSICION,NUMERO,pn,Run,EDAD,PESO,ESTATURA,JJUGADOS,JTITULAR,GOLES,MINJUGADOS,TAMARILLAS,TROJAS,TOQUESB,PASESCOMP,PASESINC,ASISTENCIAS,DISTTOTALkm,DISTxPARTkm,VELOCIDADkm/hra,FALTAS,BALRECUP
Dami�n Alfredo P_rez,def,15,1,1,27,64,1.68,16,14,0,1305,5,0,821,522,209,1,149.6,9.1,5.7,20,288
Gregory Mart�n Garza Early,def,4,1,2,25,74,1.72,2,2,0,109,1,0,74,50,14,0,13.1,10.8,7,3,20
Juan Carlos N�_ez Orozco,def,22,1,3,33,65,1.67,13,5,0,620,1,0,403,296,61,0,82.6,10.5,6.5,4,139
Juan Carlos Valenzuela Hern�ndez,def,6,1,4,32,72,1.77,14,14,0,1260,2,0,619,420,151,0,139.7,8.7,5.5,9,252
Michael Orozco Fiscal,def,16,1,5,30,75,1.8,14,14,0,1210,6,0,655,432,152,0,133.2,9.2,5.8,10,227
V�ctor Emanuel Aguilera,def,19,1,6,27,86,1.88,15,15,0,1302,5,0,870,621,188,1,148.1,9,5.7,6,383
Yasser Anwar Corona delgado,def,3,1,7,29,83.1,1.87,8,4,0,424,0,0,332,226,82,0,55.1,9.6,5.9,2,132
Emmanuel Garc�a Vaca,def,12,1,8,26,64,1.7,14,14,0,1229,1,0,1039,750,159,0,140.7,9,5.8,28,313
John Stefan medina Ram�rez,def,33,1,9,24,69,1.8,15,13,3,1204,7,0,732,489,138,1,141.3,9.3,6,22,226
Omar Alejandro Gonz�lez,def,4,1,10,28,96.6,1.69,15,15,0,1279,2,0,613,399,147,1,146.8,9.1,5.8,8,237
Oscar Alejandro Torres Mora,def,34,1,11,21,80.8,1.86,1,0,0,25,0,0,18,16,1,0,3.1,11.2,6.9,0,5
Oscar Fabian Murillo Murillo,def,23,1,12,28,79,1.83,15,15,0,1305,2,0,728,502,160,0,147.7,9,5.7,12,328
Ra�l L�pez G�mez,def,6,1,13,23,74,1.85,12,10,0,946,2,0,528,345,111,2,98.2,9.1,5.8,5,167
Carlos Arnoldo Salcido Flores,def,3,1,14,36,80.4,1.75,12,12,0,976,2,1,782,604,114,0,126.9,9.9,6.3,7,255
Edwin William Hern�ndez Herrera,def,6,1,15,30,67.8,1.66,16,16,0,1262,3,1,1148,767,240,5,159.2,9.9,6.3,12,264
Hedgardo Mar�n Arroyo,def,5,1,16,23,83.2,1.83,11,11,1,990,1,0,731,535,118,0,99.4,9,5.7,6,223
Jair Pereira Rodr�guez,def,4,1,17,30,78.9,1.83,10,9,0,815,5,0,630,446,125,0,109.1,9.9,6.2,10,227
Juan Miguel Basulto medina,def,28,1,18,24,77.6,1.85,2,0,0,180,0,0,112,83,17,0,19.9,10,6.4,0,39
Miguel �ngel Ponce Brise_o,def,16,1,19,27,82.2,1.75,2,2,0,80,1,0,77,56,11,0,10.8,5.4,6.2,1,17
Bruno Amilcar Vald_z Rojas,def,18,1,20,24,79,1.83,14,13,2,1170,1,0,738,537,135,0,121.9,8.7,5.6,5,248
Erik Alan Pimentel Benavides,def,4,1,21,26,74,1.77,4,2,0,181,0,0,152,114,27,0,20.7,5.2,6.6,2,44
Gil Giovanni Bur�n Morales,def,3,1,22,22,63,1.68,4,2,0,360,0,0,171,116,39,0,37.9,9.5,6.5,4,43
Osmar Mares Mart�nez,def,15,1,23,29,64,1.69,14,13,0,1043,4,0,676,451,157,0,112.5,8,6.5,16,185
Pablo C_sar Aguilar Ben�tez,def,12,1,24,29,80,1.8,17,17,2,1509,6,0,1193,800,293,4,199.7,11.7,5.4,12,517
Paolo Duval Goltz,def,2,1,25,31,80,1.84,13,13,1,1142,1,0,1016,760,185,0,170.6,13.1,5.7,11,386
Paul Nicol�s Aguilar Rojas,def,22,1,26,30,67,1.8,11,11,1,990,4,0,682,458,150,0,107.1,9.7,6.2,7,182
Daniel Arreola Arg�ello,def,12,1,27,31,73,1.81,7,7,1,630,2,0,378,239,86,0,64.2,9.2,5.8,15,137
Diego Andr_s Cruz Esparza,def,22,1,28,21,58,1.69,2,0,0,33,0,0,16,13,3,0,2.7,7.5,7.3,0,3
Gaddi Axel Aguirre Ledesma,def,5,1,29,20,72.8,1.81,2,0,0,39,0,0,16,13,1,0,4.3,10,6,1,9
Jaine Stiven Barreiro Solis,def,2,1,30,22,80,1.88,9,0,2,761,3,0,449,319,92,0,74,8.7,5.7,7,178
Jos_ Antonio Madue_a L�pez,def,27,1,31,26,67.6,1.74,17,0,0,1530,5,0,875,584,201,3,177.8,10.5,6.7,15,254
Leiton Jim_nez Romero,def,3,1,32,27,78,1.81,10,0,0,900,0,0,533,389,104,0,89.6,9,5.7,4,217
Rodrigo Salinas Dorantes,def,29,1,33,28,74,1.79,2,0,0,31,0,0,18,7,8,0,4.7,13.8,7.2,0,8
Dayro Mauricio Moreno Galindo,del,17,2,1,31,74,1.78,17,17,11,1390,2,0,702,368,178,2,151.7,8.9,5.7,15,99
H_ctor Daniel Villalba,del,30,2,2,22,75.7,1.72,1,0,0,8,0,0,3,1,1,0,1.3,14.6,7.1,0,0
Henry Josu_ Mart�n Mex,del,11,2,3,24,68,1.7,2,0,0,23,0,0,28,17,6,0,8.1,10.6,5.8,3,5
Milton Joel Caraglio,del,9,2,4,28,86,1.87,17,17,3,1514,5,0,711,288,218,4,163.3,8.8,5.6,33,148
Franco Daniel Jara,del,29,2,5,28,76,1.81,12,11,9,886,3,0,498,234,87,2,108.9,9.2,5.9,22,90
Hirving Rodrigo Lozano Bahena,del,8,2,6,21,63,1.74,13,12,7,1019,4,2,707,359,112,4,103.4,7.8,5,57,162
Jonathan Mat�as Urretaviscaya Da Luz,del,10,2,7,26,66.3,1.72,17,16,4,1448,1,0,1057,517,295,5,160.9,8.9,5.7,30,176
Juan Jos_ Calero Sierra,del,27,2,8,18,80,1.85,8,0,2,156,1,0,72,35,16,0,23.3,11.8,7.2,2,14
Wilson David Morelo L�pez,del,19,2,9,29,74.8,1.7,10,6,3,486,0,0,174,92,18,0,48.5,9,5.8,8,30
Anselmo Vendrechovski Junior,del,3,2,10,34,80,1.81,17,17,0,1505,2,0,1298,1028,201,2,189.1,9.1,5.8,11,347
Hugo Ayala Castro,del,4,2,11,29,80.6,1.83,17,17,0,1530,1,1,1290,948,239,0,200.1,9.5,6,31,421
Israel Sabdi Jim_nez Na_ez,del,2,2,12,27,68.1,1.73,9,7,0,636,0,0,439,334,60,0,68.5,9.7,6.1,2,102
Jorge Emmanuel Torres Nilo,del,6,2,13,28,78,1.8,12,12,0,1080,6,0,879,619,187,0,155.6,9.7,6.1,25,275
Andr_-pierre Christian Gignac,del,10,2,14,31,89,1.87,15,15,5,1346,1,0,677,309,142,3,178.7,9.5,6,15,116
Andy delort,del,9,2,15,25,82,1.82,9,2,2,260,0,0,170,56,54,1,36.4,11.5,6.9,6,41
Fernando Fabi�n Fern�ndez Acosta,del,5,2,16,24,83.5,1.82,2,0,0,33,0,0,10,3,5,0,4,10.9,6.1,0,0
Julian Andr_s Qui_ones Qui_ones,del,33,2,17,19,76,1.77,3,0,0,49,0,0,34,14,3,1,9.2,14.3,7.8,1,12
Alan Pulido Izaguirre,del,9,2,18,25,76.2,1.77,8,8,4,454,1,0,342,157,66,1,77.3,9.7,6.8,15,77
Alejandro Zendejas Saavedra,del,29,2,19,18,66.5,1.65,1,0,0,24,0,0,17,8,3,0,3.2,12,7,1,4
�ngel Zald�var Caviedes,del,14,2,20,22,75.7,1.78,15,13,5,1198,3,0,472,271,71,1,142.9,9.5,6.9,11,109
Carlos Ernesto Cisneros Barajas,del,24,2,21,23,73.9,1.75,15,15,1,1225,3,0,720,403,142,0,155.3,10.4,6.4,27,171
Javier Eduardo L�pez Ram�rez,del,10,2,22,22,66.6,1.67,16,16,1,755,2,0,517,291,83,3,89.4,5.6,6.2,15,104
N_stor Calder�n Enr�quez,del,18,2,23,27,70.4,1.72,12,12,2,450,0,0,335,217,71,0,59.1,4.9,6.9,2,65
Jes�s Alberto Moreno Salas,del,27,2,24,26,75,1.79,2,0,0,9,0,0,6,3,1,0,2.3,2.3,8.8,0,2
Oribe Peralta Morones,del,24,2,25,32,71,1.7,12,12,4,810,1,0,535,274,109,3,129.2,10.8,5.8,21,115
Silvio Ezequiel Romero,del,9,2,26,28,76,1.75,16,16,10,1168,1,0,485,238,91,2,145.9,16,5.6,20,103
Jahir Alejandro Barraza Flores,del,10,2,27,23,76.7,1.82,7,3,2,276,0,0,106,51,26,0,31.7,10.6,6.4,4,14
Jefferson Andr_s Duque Montoya,del,9,2,28,29,84,1.84,12,9,0,866,0,0,250,110,55,0,86.6,9,5.7,14,43
Mart�n Barrag�n Negrete,del,28,2,29,25,76,1.77,17,14,5,1341,5,0,661,360,125,1,158.5,10.6,6.8,23,127
Sergio Alfonso Rodr�guez Aguilera,del,24,2,30,21,87,1.88,2,0,0,122,0,0,67,49,6,0,15,11.5,7.2,1,9
Avil_s Hurtado Herrera,med,18,3,1,29,65.5,1.71,17,16,4,1296,1,0,810,393,170,4,148.9,9.4,6.1,37,206
Guido Rodr�guez,med,5,3,2,22,80,1.85,17,17,3,1516,7,0,1073,702,212,0,194.6,10.3,6.5,44,471
Juan Carlos medina Alonzo,med,26,3,3,33,72,1.7,5,2,0,144,1,0,89,57,17,0,20,12.5,7.3,0,32
Kevin Rusell Guti_rrez Gonz�lez,med,21,3,4,21,64,1.65,14,8,0,779,1,0,427,273,97,0,102.1,11.2,7,11,133
Paul Joseph Arriola Hendricks,med,20,3,5,21,65,1.67,12,0,0,160,0,0,90,33,29,0,25.6,14.4,7.7,3,33
V�ctor Ignacio Malcorra,med,10,3,6,29,70,1.7,16,9,0,824,3,0,576,349,144,1,109.9,11,6.9,7,111
Vitor Gomes Pereira Junior,med,8,3,7,27,67,1.71,4,0,0,45,0,0,72,49,16,0,11.2,11.7,6.5,1,17
Erick Gabriel Guti_rrez Galaviz,med,15,3,8,21,70,1.76,15,14,1,1231,1,0,854,601,123,3,143,10.5,6.7,26,854
Erick Germain Aguirre Tafolla,med,26,3,9,19,63,1.7,12,5,0,536,0,0,363,262,67,2,62.3,10.5,6.6,2,96
Jorge Daniel Hern�ndez Govea,med,16,3,10,27,80,1.7,16,16,0,1384,8,0,996,762,134,0,170.8,9.8,6.3,31,338
Ruben Alejandro Botta Montero,med,11,3,11,26,70.7,1.77,9,2,3,259,0,0,173,86,39,0,33.6,10.7,6.4,3,38
Alberto Joshimar Acosta Alvarado,med,27,3,12,28,71.2,1.69,6,5,0,404,2,0,397,285,67,1,51.7,9.6,6.1,9,112
Dami�n Ariel �lvarez,med,11,3,13,37,64,1.68,6,3,0,314,1,0,196,141,26,1,36,10.3,6.5,3,37
Guido Hern�n Pizarro Demestri,med,19,3,14,26,73.8,1.86,15,15,1,1345,5,1,1301,994,187,0,202.6,10.7,6.8,18,384
Javier Ignacio Aquino Carmona,med,20,3,15,26,62,1.68,15,15,3,1230,1,0,993,546,184,4,188.5,10.7,6.8,46,251
Jes�s Alberto Due_as Manzo,med,29,3,16,27,73.4,1.74,16,13,0,1300,5,1,1175,881,176,1,192.2,10.4,6.6,30,297
Jos_ Francisco Torres Mezzell,med,17,3,17,29,65.5,1.73,13,11,0,755,1,0,536,397,88,0,92.2,10.7,6.8,8,117
J�rgen Damm Rasc�n,med,25,3,18,24,69,1.87,10,0,0,303,1,0,337,188,89,2,80.7,11,6.7,9,94
Lucas Manuel Zelarayan,med,8,3,19,24,70.1,1.72,17,16,3,1199,1,0,866,546,161,2,148.9,11,7.1,15,187
Luis Enrique Qui_ones,med,23,3,20,25,69.9,1.78,10,4,0,346,0,0,202,104,47,1,43.1,11.2,6.9,2,46
Manuel Viniegra Garc�a,med,15,3,21,28,78.8,1.8,10,1,0,213,0,0,138,98,22,0,28.6,12.1,6.8,4,38
Victor Ismael Sosa,med,18,3,22,29,73.8,1.79,17,17,7,1422,6,0,891,494,203,4,189,9.9,6.4,23,133
Isaac Brizuela Mu_�z,med,11,3,23,26,65.6,1.71,17,17,4,1393,6,1,872,509,179,2,161.2,9.5,5.9,21,196
Jes�s Enrique S�nchez Garc�a,med,17,3,24,27,67.5,1.68,16,16,0,1362,5,0,1134,777,215,1,165.7,10.4,6.1,20,354
Jos_ Juan V�zquez G�mez,med,23,3,25,28,64,1.66,8,8,0,335,1,0,396,314,49,0,54.5,6.8,6.6,7,126
Michael P_rez Ortiz,med,25,3,26,23,75,1.69,14,10,0,1014,3,0,760,550,103,1,122.2,8.7,6.5,20,220
Orbel�n Pineda Alvarado,med,7,3,27,20,63.8,1.69,17,17,0,1454,2,0,1143,800,122,0,192.5,11.3,6.8,41,274
Alex Renato Ibarra Mina,med,30,3,28,25,69,1.75,15,15,1,828,3,1,821,462,157,6,140.4,9.4,5.7,33,193
Carlos Iv�n Rosel Bermont,med,29,3,29,21,68,1.67,1,0,0,45,1,0,52,21,8,0,13.1,13.1,6.9,3,22
Javier G�emez L�pez,med,5,3,30,25,77,1.74,4,4,0,153,0,0,139,104,20,0,18.9,4.7,5.8,3,31
Jos_ Daniel Octavio Guerrero Rodr�guez,med,21,3,31,29,69,1.75,14,14,0,1060,2,0,692,540,115,0,133.3,9.5,6.3,14,216
Manuel P_rez Ru�z,med,20,3,32,23,63,1.69,1,0,0,10,0,0,9,6,2,0,1.9,1.9,8.6,0,2
Michael Antonio Arroyo Mina,med,11,3,33,29,70,1.82,13,13,4,578,3,0,501,298,85,0,87.4,10.6,5.7,16,63
Bryan Eduardo Garnica Cort_z,med,15,3,34,20,56.3,1.67,13,2,0,1013,0,0,492,264,115,1,123.3,11,7,22,129
C�ndido Sa�l Ram�rez Montes,med,21,3,35,23,67,1.7,11,3,3,736,2,0,379,171,108,2,83.5,10.4,6.6,20,92
Christian Alejandro Tabo Hornos,med,23,3,36,23,70,1.74,6,0,0,231,1,0,102,40,20,0,26.8,10.5,6.5,15,22
Daniel �lvarez L�pez,med,8,3,37,22,70,1.76,16,9,2,815,3,0,461,267,94,2,98.9,11,6.9,12,93
Javier Alv�n Salas Salazar,med,13,3,38,23,73,1.82,12,8,0,792,1,2,542,422,77,0,95.9,10.9,6.9,5,145
Luis Enrique Robles Ram�rez,med,18,3,39,30,69,1.7,13,11,1,1029,3,0,646,465,111,1,113.5,9.9,6.3,6,218
Luis Ricardo Reyes Moreno,med,14,3,40,25,66,1.81,15,15,0,1350,3,0,822,509,202,3,158.4,10.56,6.7,7,259
